"country","rating","name","count_of_rents","amount_made"
"Yugoslavia","R","Sci-Fi","1","2.99"
"Italy","PG-13","Animation","5","16.95"
"Nauru","G","Travel","1","4.99"
"Zambia","PG","Comedy","2","5.98"
"Indonesia","R","Documentary","2","7.98"
"United States","G","Music","1","0.99"
"Chile","PG-13","Comedy","1","5.99"
"Italy","G","Family","3","13.97"
"Netherlands","PG-13","New","1","7.99"
"United Kingdom","R","Travel","3","9.97"
"Dominican Republic","G","Comedy","1","0.99"
"Argentina","NC-17","Documentary","10","30.90"
"Congo, The Democratic Republic of the","R","Games","3","12.97"
"Bulgaria","R","Animation","1","3.99"
"Egypt","R","Sci-Fi","3","16.97"
"Venezuela","G","Horror","2","9.98"
"Brazil","NC-17","Children","8","32.92"
"Moldova","PG-13","Travel","1","3.99"
"South Korea","R","Foreign","1","0.99"
"Bangladesh","R","Drama","1","6.99"
"France","PG","Foreign","3","9.97"
"Myanmar","G","Drama","2","7.98"
"Taiwan","PG","Sci-Fi","4","16.96"
"Pakistan","NC-17","Horror","1","6.99"
"India","G","Sports","19","98.81"
"Saudi Arabia","G","Music","1","1.99"
"Ecuador","PG-13","Action","1","0.99"
"Russian Federation","PG","New","7","30.93"
"Netherlands","NC-17","Children","1","0.99"
"China","NC-17","Classics","13","51.87"
"Netherlands","PG-13","Music","1","6.99"
"Mexico","R","Animation","3","7.97"
"India","PG","Games","8","44.92"
"Nauru","PG","Comedy","3","12.97"
"Ukraine","G","Children","1","3.99"
"Japan","PG-13","Documentary","7","28.93"
"Russian Federation","R","Foreign","12","45.88"
"Germany","PG","Sports","2","9.98"
"South Africa","PG-13","Classics","5","11.95"
"Argentina","PG","Children","2","7.98"
"Kuwait","PG-13","Family","1","7.99"
"Israel","NC-17","Music","1","4.99"
"France","PG-13","Sci-Fi","2","10.98"
"China","PG-13","Travel","15","48.85"
"Oman","G","Travel","1","2.99"
"Nigeria","R","Sci-Fi","7","25.93"
"Bahrain","G","Sports","1","6.99"
"Indonesia","G","Animation","5","16.95"
"Philippines","R","Foreign","5","24.95"
"Poland","PG","Music","1","3.99"
"China","PG","Music","13","56.87"
"Nauru","R","Family","1","2.99"
"Japan","NC-17","Music","14","63.86"
"Austria","G","Sci-Fi","2","3.98"
"Colombia","NC-17","New","2","5.98"
"United States","PG","Comedy","12","49.88"
"Ukraine","NC-17","Animation","5","25.95"
"India","NC-17","Action","9","27.91"
"Nigeria","R","Family","3","9.97"
"Sweden","PG","Comedy","2","7.98"
"Dominican Republic","G","Action","1","2.99"
"Puerto Rico","NC-17","Music","1","2.99"
"Japan","PG-13","Travel","8","30.92"
"Egypt","PG","Music","1","4.99"
"China","PG-13","Classics","16","70.84"
"France","PG-13","Music","1","0.99"
"Afghanistan","NC-17","Documentary","1","0.99"
"Argentina","R","Classics","3","9.97"
"Puerto Rico","PG","Documentary","1","1.99"
"Greece","R","Classics","1","5.99"
"Venezuela","R","Action","10","42.90"
"Italy","NC-17","Classics","4","12.96"
"United Arab Emirates","PG-13","Drama","4","8.96"
"Algeria","PG-13","Games","1","0.99"
"Tonga","PG-13","Drama","1","0.99"
"Russian Federation","PG-13","New","10","48.90"
"United Kingdom","PG-13","Documentary","2","4.98"
"Bulgaria","G","Documentary","2","7.98"
"Bulgaria","NC-17","Music","2","5.98"
"United Kingdom","G","Thriller","1","4.99"
"Paraguay","R","Sci-Fi","3","10.97"
"Brazil","G","Documentary","6","28.94"
"Nigeria","NC-17","Sports","5","18.95"
"Ukraine","PG","Classics","1","4.99"
"United Arab Emirates","NC-17","Sports","2","12.98"
"Bahrain","NC-17","New","1","9.99"
"Virgin Islands, U.S.","NC-17","Sports","1","5.99"
"Colombia","G","Drama","1","4.99"
"China","PG-13","Sports","25","116.76"
"South Korea","PG","Sports","2","8.98"
"Vietnam","PG","Documentary","1","5.99"
"South Korea","PG","Music","3","10.97"
"United Kingdom","NC-17","Children","1","2.99"
"Peru","PG-13","New","1","6.99"
"North Korea","PG","Sci-Fi","1","4.99"
"Latvia","NC-17","Family","1","8.99"
"Sweden","NC-17","Documentary","1","2.99"
"French Polynesia","PG","Classics","1","3.99"
"United Kingdom","PG-13","Games","2","11.98"
"Yemen","R","New","1","4.99"
"Austria","PG","Action","1","0.99"
"Sudan","G","Drama","2","11.98"
"Bangladesh","PG-13","Sci-Fi","2","10.98"
"Bulgaria","NC-17","Children","1","2.99"
"Venezuela","PG-13","Action","1","4.99"
"Venezuela","G","Games","3","8.97"
"Hong Kong","PG-13","Sci-Fi","1","4.99"
"Nigeria","PG-13","Drama","10","41.90"
"Mexico","NC-17","Family","11","47.89"
"Morocco","PG-13","Drama","2","11.98"
"United Arab Emirates","NC-17","Family","2","3.98"
"Argentina","G","Children","1","2.99"
"Azerbaijan","NC-17","Horror","1","4.99"
"Angola","PG","Family","1","4.99"
"Canada","NC-17","Games","4","22.96"
"Morocco","R","Animation","3","14.97"
"India","PG","Action","14","41.86"
"Netherlands","PG-13","Action","1","4.99"
"Switzerland","PG-13","Sci-Fi","2","12.98"
"Yemen","R","Sci-Fi","1","4.99"
"Oman","R","New","1","4.99"
"Ethiopia","R","Games","1","0.99"
"Yugoslavia","NC-17","Music","1","4.99"
"Chad","R","Sci-Fi","2","11.98"
"Iran","PG-13","New","1","0.99"
"Italy","R","Action","3","14.97"
"Philippines","G","Drama","9","44.91"
"Egypt","PG-13","New","1","4.99"
"Russian Federation","PG","Sci-Fi","8","40.92"
"Sudan","G","Documentary","1","10.99"
"Lithuania","PG-13","Animation","2","3.98"
"Afghanistan","PG-13","Drama","1","0.99"
"Germany","PG-13","New","3","8.97"
"Mozambique","G","Documentary","1","0.99"
"Hungary","PG","Documentary","1","9.99"
"Russian Federation","PG-13","Games","11","50.89"
"Indonesia","PG-13","Sci-Fi","7","20.93"
"Turkmenistan","PG-13","Comedy","1","4.99"
"Argentina","NC-17","Games","7","31.93"
"Argentina","PG-13","Family","3","8.97"
"China","PG","New","15","73.85"
"Japan","R","Sports","8","34.92"
"Turkey","G","Travel","2","12.98"
"Cameroon","G","Family","1","4.99"
"Brazil","G","Drama","3","14.97"
"Iraq","NC-17","Sports","2","7.98"
"Slovakia","G","Classics","1","2.99"
"Chad","PG","Sci-Fi","1","5.99"
"Ecuador","G","New","1","5.99"
"Israel","NC-17","Sports","3","10.97"
"Dominican Republic","PG-13","Action","1","1.99"
"Kenya","PG-13","Animation","3","18.97"
"Romania","G","Comedy","1","4.99"
"Canada","R","Games","2","12.98"
"Spain","R","Animation","3","9.97"
"Austria","R","Comedy","1","4.99"
"Germany","G","Sci-Fi","1","0.99"
"Mexico","PG-13","Games","12","53.88"
"Bolivia","NC-17","Children","2","11.98"
"Sweden","R","Classics","2","1.98"
"Turkey","PG-13","Sports","4","20.96"
"China","R","Horror","17","64.83"
"Malaysia","R","Documentary","2","10.98"
"United States","NC-17","Sci-Fi","11","45.89"
"Iraq","PG-13","Documentary","1","0.99"
"French Polynesia","NC-17","Sports","1","4.99"
"United Kingdom","R","Family","4","19.96"
"Brunei","NC-17","Sports","2","6.98"
"Ukraine","PG-13","Classics","4","13.96"
"India","G","Animation","18","66.82"
"Nigeria","PG","Music","8","47.92"
"Switzerland","G","Horror","1","0.99"
"Philippines","PG","Foreign","8","25.92"
"South Korea","NC-17","Travel","3","14.97"
"Greenland","NC-17","Documentary","1","0.99"
"Egypt","NC-17","Games","2","3.98"
"Taiwan","NC-17","New","3","4.97"
"Yemen","PG-13","Sports","2","8.98"
"Tanzania","G","Drama","1","9.99"
"India","NC-17","Classics","15","61.85"
"Yemen","R","Games","5","16.95"
"United Kingdom","PG-13","Action","2","9.98"
"Ecuador","PG","Documentary","1","0.99"
"Philippines","PG","Horror","6","26.94"
"Malaysia","NC-17","Documentary","1","4.99"
"Turkey","NC-17","Children","5","20.95"
"Netherlands","R","Horror","2","17.98"
"Thailand","G","Animation","1","2.99"
"Mexico","PG","Documentary","14","44.86"
"Yugoslavia","PG-13","Comedy","2","14.98"
"Myanmar","G","Action","1","6.99"
"Spain","PG-13","Music","2","7.98"
"Turkey","R","Drama","2","8.98"
"Indonesia","G","Documentary","5","21.95"
"Italy","PG","Animation","4","18.96"
"Japan","PG-13","New","9","40.91"
"China","PG-13","Foreign","19","70.81"
"Colombia","R","Action","3","18.97"
"Ukraine","G","Comedy","1","0.99"
"Germany","NC-17","Music","7","27.93"
"Iran","PG-13","Foreign","1","0.99"
"Vietnam","PG-13","Classics","3","18.97"
"Ukraine","PG-13","Music","2","11.98"
"United Arab Emirates","G","New","1","6.99"
"Zambia","NC-17","Games","1","0.99"
"Bangladesh","G","Games","4","17.96"
"Bolivia","R","Travel","1","4.99"
"Angola","PG-13","Games","1","6.99"
"Moldova","R","Horror","1","1.99"
"Runion","PG","Classics","1","2.99"
"Nauru","PG-13","Drama","1","4.99"
"Thailand","PG-13","Animation","3","11.97"
"Indonesia","NC-17","Action","5","24.95"
"Saudi Arabia","R","Action","2","7.98"
"Venezuela","PG","Animation","1","7.99"
"Vietnam","G","Foreign","3","6.97"
"Belarus","R","Horror","2","6.98"
"Colombia","PG","Horror","1","7.99"
"Bulgaria","G","Foreign","2","6.98"
"Hungary","G","Documentary","1","11.99"
"Tanzania","PG","Drama","1","0.99"
"Spain","PG","Documentary","5","27.95"
"Poland","PG","Comedy","4","14.96"
"Turkey","R","Sports","9","48.91"
"Greenland","PG","Foreign","1","2.99"
"Iran","G","Documentary","5","8.95"
"Bangladesh","PG","Music","1","6.99"
"Mexico","R","New","2","5.98"
"Switzerland","PG-13","Classics","2","6.98"
"Moldova","PG-13","Family","1","2.99"
"Hong Kong","R","Foreign","2","9.98"
"Italy","R","Games","3","19.97"
"North Korea","G","Documentary","1","4.99"
"Argentina","G","Horror","4","12.96"
"Tanzania","PG-13","Drama","3","15.97"
"India","NC-17","Horror","13","42.87"
"Austria","PG","Comedy","2","10.98"
"Zambia","PG","Travel","1","0.99"
"Mexico","G","Games","6","18.94"
"Chile","PG","Horror","1","6.99"
"France","PG-13","Travel","1","4.99"
"Argentina","PG","Sports","5","23.95"
"Mozambique","G","Games","1","0.99"
"United States","PG-13","Animation","20","73.79"
"Liechtenstein","NC-17","Action","2","12.98"
"Poland","PG-13","Music","2","3.98"
"Switzerland","G","Games","2","16.98"
"Egypt","R","Children","2","1.98"
"Yugoslavia","G","Documentary","1","5.99"
"Iran","G","Foreign","3","24.97"
"Turkmenistan","PG-13","Classics","1","4.99"
"Germany","PG-13","Foreign","3","9.97"
"French Polynesia","G","Games","1","2.99"
"Malaysia","PG-13","Action","1","4.99"
"North Korea","R","Documentary","1","0.99"
"Kenya","PG","Games","1","5.99"
"France","G","Comedy","1","5.99"
"Malawi","R","Comedy","1","6.99"
"Saudi Arabia","PG","Comedy","1","6.99"
"Venezuela","PG","Sci-Fi","1","0.99"
"Hong Kong","G","Foreign","1","0.99"
"Indonesia","PG","Children","4","14.96"
"Faroe Islands","R","Music","1","7.99"
"Hungary","PG","Travel","1","4.99"
"Slovakia","PG-13","New","1","4.99"
"India","R","Children","19","72.81"
"Yemen","PG-13","Drama","3","11.97"
"Germany","PG","Music","1","2.99"
"Morocco","PG","Documentary","1","2.99"
"French Guiana","PG-13","Comedy","1","6.99"
"Nigeria","G","Travel","5","23.95"
"Iran","G","Sports","3","20.97"
"Zambia","PG","Family","1","0.99"
"United States","PG","Animation","14","54.86"
"Peru","PG-13","Foreign","3","10.97"
"South Africa","R","Music","4","14.96"
"Cambodia","PG","Family","2","4.98"
"Cameroon","G","Action","2","1.98"
"France","R","Action","2","7.98"
"Kuwait","PG","Foreign","1","3.99"
"Israel","R","Games","1","4.99"
"Senegal","NC-17","Sci-Fi","1","4.99"
"Malaysia","R","Sci-Fi","2","3.98"
"Mozambique","NC-17","Music","2","7.98"
"Kenya","G","Drama","1","4.99"
"Mexico","PG","Family","12","32.88"
"Japan","R","Animation","4","8.96"
"Russian Federation","PG-13","Classics","11","37.89"
"Saudi Arabia","PG","Sci-Fi","3","21.97"
"United States","PG","Horror","10","43.90"
"South Africa","R","New","2","12.98"
"Tonga","R","Foreign","1","4.99"
"Hong Kong","G","Documentary","1","3.99"
"Japan","R","Games","13","54.87"
"Ukraine","PG-13","Sports","2","5.98"
"Malawi","PG","Family","1","0.99"
"Brunei","R","Action","1","2.99"
"Cambodia","PG","Children","1","4.99"
"Poland","R","Comedy","1","7.99"
"Canada","G","Animation","3","10.97"
"Saudi Arabia","PG","Documentary","4","14.96"
"China","NC-17","Action","10","26.90"
"India","R","Classics","30","114.69"
"Poland","R","Children","3","11.97"
"Dominican Republic","NC-17","Travel","1","8.99"
"French Guiana","NC-17","Music","1","8.99"
"Germany","R","New","1","4.99"
"Argentina","PG","Horror","3","10.97"
"Poland","PG","Animation","4","11.96"
"Hong Kong","PG-13","Games","2","17.98"
"Gambia","R","Horror","1","7.99"
"Iraq","PG","Comedy","1","6.99"
"Japan","PG","Family","11","39.89"
"Egypt","R","Comedy","1","8.99"
"Bolivia","G","New","2","9.98"
"Chad","PG-13","Family","1","2.99"
"Hong Kong","R","Children","1","0.99"
"New Zealand","NC-17","Drama","2","5.98"
"Canada","PG-13","Horror","1","7.99"
"Pakistan","G","Comedy","1","2.99"
"Chad","G","Sci-Fi","1","0.99"
"Runion","G","Foreign","3","14.97"
"Estonia","R","Horror","1","4.99"
"South Africa","R","Games","4","13.96"
"Germany","R","Travel","3","8.97"
"Turkey","G","Children","7","39.93"
"Sri Lanka","NC-17","Travel","1","2.99"
"France","NC-17","Action","2","9.98"
"Dominican Republic","PG-13","Sci-Fi","2","7.98"
"Czech Republic","G","Family","1","2.99"
"South Korea","G","Horror","2","6.98"
"Malawi","G","Classics","2","8.98"
"Armenia","NC-17","Music","1","2.99"
"Spain","R","New","1","4.99"
"Nigeria","PG","Classics","2","6.98"
"Moldova","R","Sci-Fi","1","4.99"
"Malaysia","G","Sci-Fi","1","4.99"
"Yugoslavia","PG","Sports","2","7.98"
"Sudan","G","Animation","1","4.99"
"Morocco","NC-17","Comedy","1","0.99"
"Azerbaijan","G","Action","1","7.99"
"United States","G","Documentary","13","55.87"
"Mozambique","NC-17","Animation","1","2.99"
"American Samoa","PG-13","Sports","1","0.99"
"Brazil","PG-13","Children","6","27.94"
"North Korea","PG-13","Games","1","3.99"
"Poland","G","Family","2","11.98"
"Russian Federation","R","Animation","8","24.92"
"France","PG-13","New","1","3.99"
"Afghanistan","G","Comedy","2","3.98"
"Mozambique","PG-13","Family","2","9.98"
"Malaysia","PG-13","Drama","3","6.97"
"Nigeria","G","Family","4","22.96"
"Gambia","PG-13","Action","1","5.99"
"Indonesia","NC-17","Horror","2","5.98"
"China","PG-13","Children","19","67.81"
"Thailand","R","Sci-Fi","3","9.97"
"United Arab Emirates","NC-17","Drama","1","0.99"
"Taiwan","G","Family","3","19.97"
"Liechtenstein","NC-17","Documentary","1","4.99"
"Romania","G","New","2","7.98"
"Canada","PG","Drama","1","2.99"
"Dominican Republic","PG-13","Music","1","0.99"
"Italy","R","Foreign","5","13.95"
"Nigeria","PG","New","2","9.98"
"Indonesia","NC-17","Sports","7","26.93"
"Kazakstan","NC-17","Children","2","10.98"
"Pakistan","R","Family","1","5.99"
"Chile","NC-17","Games","3","9.97"
"Taiwan","PG","Family","7","22.93"
"Spain","R","Classics","5","27.95"
"Greece","G","Action","2","15.98"
"Colombia","PG-13","Classics","1","0.99"
"Bolivia","PG","Comedy","2","5.98"
"China","NC-17","Games","24","85.76"
"Spain","PG","Travel","2","7.98"
"French Guiana","PG","Sports","1","5.99"
"Saudi Arabia","G","Sci-Fi","2","13.98"
"Puerto Rico","NC-17","Foreign","1","2.99"
"Israel","R","Sci-Fi","4","21.96"
"Sweden","G","Horror","1","5.99"
"Slovakia","PG-13","Sci-Fi","1","1.99"
"Dominican Republic","PG","Documentary","1","5.99"
"Bulgaria","PG","Drama","1","6.99"
"Anguilla","PG-13","Family","1","2.99"
"Anguilla","PG","Music","1","2.99"
"Mexico","PG","Animation","5","21.95"
"Senegal","R","Drama","1","2.99"
"United Kingdom","G","Travel","1","2.99"
"Japan","NC-17","Travel","7","34.93"
"Oman","NC-17","Travel","1","0.99"
"Liechtenstein","PG","Horror","1","4.99"
"Italy","PG-13","Horror","2","6.98"
"United Arab Emirates","R","Classics","1","4.99"
"Anguilla","NC-17","Animation","1","4.99"
"Indonesia","PG","Comedy","7","25.93"
"Indonesia","R","Music","4","14.96"
"Sweden","NC-17","Action","1","2.99"
"Turkey","PG-13","Classics","4","12.96"
"Czech Republic","NC-17","Travel","1","5.99"
"Brunei","PG","Sports","1","1.99"
"Austria","PG-13","Animation","4","17.96"
"Brunei","R","Classics","1","0.99"
"Turkey","R","Documentary","3","13.97"
"Italy","NC-17","Comedy","2","16.98"
"Chile","R","Games","1","6.99"
"United Kingdom","G","Children","5","18.95"
"Finland","NC-17","Children","1","2.99"
"Taiwan","PG","Animation","4","10.96"
"Mozambique","R","Music","1","2.99"
"Saudi Arabia","NC-17","Classics","1","0.99"
"United Arab Emirates","PG","Action","1","0.99"
"Spain","R","Action","1","1.99"
"Malaysia","G","Children","2","12.98"
"French Guiana","NC-17","Family","1","4.99"
"Belarus","PG-13","New","1","3.99"
"Morocco","NC-17","Horror","1","4.99"
"Azerbaijan","G","New","1","4.99"
"Belarus","PG-13","Action","2","11.98"
"French Guiana","PG-13","Sci-Fi","1","6.99"
"United Arab Emirates","G","Documentary","1","0.99"
"Israel","NC-17","Documentary","2","6.98"
"Bangladesh","NC-17","New","2","1.98"
"Chad","PG","Horror","1","0.99"
"Germany","G","Classics","4","10.96"
"Brazil","PG","Sci-Fi","11","55.88"
"Switzerland","G","Children","2","6.98"
"Romania","PG","Animation","1","1.99"
"South Korea","NC-17","Action","2","2.98"
"Puerto Rico","NC-17","Travel","2","10.98"
"Ecuador","PG-13","Drama","1","2.99"
"United Arab Emirates","PG","New","4","23.96"
"Nigeria","PG","Sci-Fi","5","32.95"
"Ecuador","PG","Family","2","4.98"
"Armenia","PG-13","Action","1","0.99"
"Faroe Islands","NC-17","Drama","3","16.97"
"Yugoslavia","PG","Travel","1","4.99"
"Puerto Rico","R","Horror","1","6.99"
"Saudi Arabia","PG-13","Documentary","2","11.98"
"Zambia","R","Games","2","10.98"
"China","PG-13","Music","10","17.90"
"Kuwait","NC-17","Action","1","2.99"
"Senegal","R","Music","1","1.99"
"Peru","PG","Drama","1","5.99"
"United States","G","Foreign","11","40.89"
"South Africa","PG-13","Games","4","19.96"
"Algeria","NC-17","Drama","2","11.98"
"Angola","NC-17","Classics","1","0.99"
"Poland","NC-17","Animation","2","8.98"
"Canada","R","Sports","1","1.99"
"Bulgaria","G","Classics","2","3.98"
"Iran","PG","Animation","3","11.97"
"Peru","R","Travel","2","7.98"
"Puerto Rico","PG","Sci-Fi","2","7.98"
"Thailand","PG-13","Horror","1","2.99"
"Iraq","R","Sports","2","3.98"
"Canada","G","Children","1","2.99"
"Dominican Republic","R","New","1","8.99"
"Bangladesh","PG-13","Animation","2","3.98"
"Russian Federation","PG-13","Foreign","10","63.90"
"Mozambique","PG","Sports","2","9.98"
"New Zealand","PG","New","1","2.99"
"Spain","G","Drama","2","5.98"
"Latvia","NC-17","Drama","1","2.99"
"Malaysia","PG","Games","1","6.99"
"Congo, The Democratic Republic of the","PG","Comedy","2","9.98"
"Egypt","R","Family","2","1.98"
"Japan","R","New","4","25.96"
"South Africa","PG","Sci-Fi","7","27.93"
"Japan","R","Sci-Fi","11","34.89"
"China","PG","Family","33","112.67"
"Venezuela","PG","Horror","4","12.96"
"Switzerland","G","Animation","3","10.97"
"United Kingdom","G","Comedy","4","21.96"
"Saint Vincent and the Grenadines","PG","Horror","2","5.98"
"United States","G","Games","10","49.90"
"Russian Federation","PG","Drama","5","11.95"
"South Africa","PG","Family","1","4.99"
"Greece","PG-13","Music","1","2.99"
"Russian Federation","R","New","4","16.96"
"United Kingdom","PG","Drama","2","8.98"
"Mozambique","PG-13","Games","2","12.98"
"North Korea","NC-17","New","1","0.99"
"Malaysia","G","Action","3","10.97"
"Czech Republic","NC-17","Horror","1","1.99"
"Brazil","PG-13","Games","5","20.95"
"Pakistan","PG","Classics","1","4.99"
"Ukraine","PG","Comedy","1","8.99"
"Chile","NC-17","Music","2","8.98"
"Algeria","PG","Travel","1","4.99"
"Venezuela","PG-13","Games","1","2.99"
"Yugoslavia","PG-13","Family","2","11.98"
"Italy","G","Classics","1","0.99"
"Mexico","G","Action","23","103.77"
"Turkey","R","Comedy","2","9.98"
"Turkey","PG-13","Family","1","2.99"
"Sweden","PG","Family","1","4.99"
"Azerbaijan","NC-17","Sports","1","0.99"
"Indonesia","PG","Music","5","34.95"
"Paraguay","G","Family","1","4.99"
"Cameroon","NC-17","Children","1","1.99"
"Romania","PG","Horror","2","14.98"
"United Kingdom","NC-17","Family","3","14.97"
"Argentina","PG","Animation","3","12.97"
"Nigeria","R","Animation","4","10.96"
"United Arab Emirates","R","Foreign","1","4.99"
"Latvia","G","Action","1","4.99"
"Venezuela","R","Drama","1","0.99"
"Azerbaijan","R","Horror","2","5.98"
"Nigeria","PG","Animation","2","4.98"
"Faroe Islands","R","Sci-Fi","1","2.99"
"Peru","PG","Documentary","1","1.99"
"Italy","NC-17","Games","1","0.99"
"Venezuela","G","Drama","4","19.96"
"Venezuela","PG","Music","1","3.99"
"Canada","PG","Children","4","14.96"
"Egypt","G","Family","1","0.99"
"United States","PG-13","Drama","27","119.73"
"Netherlands","NC-17","Sports","3","13.97"
"United Kingdom","R","Sports","4","17.96"
"Oman","R","Foreign","1","0.99"
"Lithuania","PG-13","New","1","0.99"
"Pakistan","PG","Sports","4","15.96"
"Turkey","G","Drama","5","24.95"
"Thailand","NC-17","Documentary","1","0.99"
"Canada","R","Horror","1","0.99"
"Armenia","PG-13","Foreign","2","5.98"
"Oman","PG","Family","1","4.99"
"Poland","R","Travel","3","7.97"
"China","R","Foreign","12","46.88"
"Philippines","NC-17","New","10","56.90"
"Philippines","R","Classics","6","15.94"
"Dominican Republic","NC-17","New","5","30.95"
"Taiwan","PG-13","Games","4","18.96"
"Kenya","PG-13","Action","3","19.97"
"Runion","G","Horror","1","3.99"
"Argentina","R","Travel","6","22.94"
"Paraguay","PG-13","Animation","1","4.99"
"Bangladesh","R","Children","1","0.99"
"Thailand","G","Horror","1","10.99"
"Brazil","G","Horror","7","40.93"
"Indonesia","PG-13","Family","3","11.97"
"Iraq","R","Sci-Fi","1","0.99"
"Yemen","R","Drama","1","4.99"
"China","PG-13","Action","14","54.86"
"Peru","PG-13","Horror","4","17.96"
"Myanmar","PG","Sci-Fi","1","8.99"
"Austria","PG-13","Drama","1","8.99"
"Estonia","G","Sports","1","6.99"
"Morocco","PG-13","Games","1","0.99"
"Pakistan","PG-13","Action","2","7.98"
"French Polynesia","PG","Travel","2","9.98"
"Sri Lanka","G","Drama","1","4.99"
"Germany","G","Drama","2","12.98"
"Taiwan","NC-17","Comedy","4","22.96"
"Bangladesh","R","Horror","4","24.96"
"Morocco","PG-13","Music","1","1.99"
"United Kingdom","NC-17","Animation","1","7.99"
"Puerto Rico","G","New","3","11.97"
"Taiwan","PG-13","Music","1","4.99"
"Sri Lanka","PG-13","Family","1","1.99"
"Paraguay","NC-17","Animation","1","2.99"
"Congo, The Democratic Republic of the","NC-17","Family","1","5.99"
"Mexico","G","Comedy","5","11.95"
"Paraguay","PG","New","1","4.99"
"Italy","PG","Travel","2","8.98"
"Zambia","PG","Documentary","1","2.99"
"Azerbaijan","R","Travel","1","0.99"
"Kazakstan","R","Children","1","0.99"
"Japan","G","Travel","9","39.91"
"Thailand","PG","Travel","1","4.99"
"Yemen","NC-17","Comedy","2","5.98"
"Chile","NC-17","Animation","1","4.99"
"Philippines","PG-13","Drama","12","39.88"
"Russian Federation","G","Sci-Fi","12","67.88"
"Ukraine","NC-17","Documentary","3","9.97"
"Nigeria","PG-13","Comedy","2","5.98"
"Japan","NC-17","Animation","15","60.84"
"Anguilla","PG","Travel","1","4.99"
"Myanmar","PG-13","Documentary","1","4.99"
"Pakistan","NC-17","Drama","5","17.95"
"China","NC-17","Music","32","156.68"
"South Korea","NC-17","New","1","2.99"
"Russian Federation","PG","Children","11","43.89"
"Colombia","R","Sci-Fi","5","21.95"
"Turkey","PG-13","Horror","9","40.91"
"Kenya","PG-13","Games","1","4.99"
"Taiwan","G","Classics","4","14.96"
"Sudan","PG-13","Games","1","7.99"
"Tanzania","NC-17","Animation","2","9.98"
"United States","PG-13","Family","5","17.95"
"Colombia","R","Foreign","2","5.98"
"Chile","R","Comedy","1","4.99"
"Belarus","R","Animation","1","3.99"
"Israel","PG-13","Sports","1","2.99"
"Austria","R","Travel","3","11.97"
"Ukraine","NC-17","Comedy","1","7.99"
"Nigeria","NC-17","Games","2","6.98"
"Egypt","R","Sports","3","17.97"
"Netherlands","PG-13","Comedy","2","11.98"
"Sweden","PG-13","Documentary","1","5.99"
"Finland","PG","Family","1","4.99"
"Faroe Islands","PG-13","Family","1","0.99"
"Germany","NC-17","Drama","4","23.96"
"Japan","PG-13","Music","3","5.97"
"Tanzania","NC-17","Action","2","5.98"
"Malaysia","PG","Children","1","0.99"
"Nauru","PG-13","Classics","1","5.99"
"Vietnam","PG-13","Sci-Fi","2","11.98"
"Armenia","PG","Games","2","10.98"
"India","R","Foreign","15","72.85"
"Angola","R","Action","2","13.98"
"Yemen","PG-13","Horror","1","3.99"
"Netherlands","PG-13","Drama","1","4.99"
"India","G","Horror","10","52.90"
"India","NC-17","New","24","109.76"
"Thailand","R","Animation","2","9.98"
"Chile","PG-13","Classics","1","4.99"
"Israel","NC-17","Action","1","4.99"
"Congo, The Democratic Republic of the","PG","Travel","2","5.98"
"Romania","PG","Drama","1","0.99"
"Greece","PG","Animation","1","4.99"
"Bulgaria","NC-17","New","2","5.98"
"Greece","NC-17","Sports","1","0.99"
"Taiwan","R","Family","5","20.95"
"Liechtenstein","NC-17","Games","2","5.98"
"Iran","PG","Documentary","3","10.97"
"Oman","PG","Drama","1","0.99"
"Bangladesh","PG-13","Action","1","8.99"
"Colombia","NC-17","Comedy","3","17.97"
"Mozambique","G","Horror","1","6.99"
"Brazil","PG","Action","7","17.93"
"Iran","PG-13","Sci-Fi","3","15.97"
"Tanzania","NC-17","Sports","2","9.98"
"Nauru","NC-17","New","1","2.99"
"Turkey","R","Classics","3","8.97"
"Hong Kong","PG","Music","1","0.99"
"Spain","PG","Foreign","1","0.99"
"Poland","NC-17","Horror","1","0.99"
"Brazil","NC-17","Documentary","10","57.90"
"Saudi Arabia","NC-17","Documentary","1","2.99"
"Austria","NC-17","Music","1","6.99"
"Saudi Arabia","G","Action","4","14.96"
"Italy","G","Action","4","8.96"
"Senegal","PG-13","Travel","2","5.98"
"France","PG","Horror","1","7.99"
"Yemen","G","Sports","2","9.98"
"Indonesia","PG-13","Foreign","5","29.95"
"Germany","R","Games","2","10.98"
"Algeria","NC-17","New","4","14.96"
"Taiwan","NC-17","Games","8","34.92"
"Taiwan","PG-13","New","2","2.98"
"Japan","PG-13","Games","14","60.86"
"Brunei","PG","Horror","1","0.99"
"Finland","PG","Children","1","8.99"
"Egypt","NC-17","Family","2","8.98"
"India","PG","Travel","21","73.79"
"United States","PG-13","Action","10","25.90"
"Israel","PG","Music","1","0.99"
"Argentina","R","Action","5","20.95"
"Sudan","G","Sci-Fi","1","6.99"
"Tunisia","G","Comedy","2","5.98"
"Pakistan","PG-13","Drama","1","0.99"
"Romania","PG-13","New","1","3.99"
"Madagascar","R","Documentary","1","0.99"
"India","PG-13","Animation","28","127.72"
"French Guiana","NC-17","Action","1","3.99"
"Cameroon","G","Games","1","0.99"
"Pakistan","PG","Action","2","3.98"
"Peru","NC-17","Travel","3","10.97"
